pages_visited,time_spent,scroll_depth,category_match,intent_score,comparison_count,product_views,intent_velocity,reread_score,engagement_depth,hover_rate,max_scroll_depth,category_affinity_strength,clicked
14,314,0.24,0,0.56,3,0,-0.005,0.57,0.57,7.94,0.36,0.2,0
10,55,0.92,1,0.59,2,1,0.143,0.35,0.64,4.97,1.0,0.84,1
2,45,0.34,1,0.32,2,1,0.193,0.09,0.3,5.98,0.47,0.39,0
9,518,0.92,0,0.68,2,3,0.287,0.3,0.87,6.43,1.0,0.03,0
12,411,0.97,1,0.61,2,0,0.216,0.01,0.54,3.64,1.0,0.77,0
6,115,0.69,0,0.53,4,4,0.031,0.61,0.65,5.08,0.83,0.06,1
1,316,1.0,0,0.57,0,0,0.055,0.37,0.95,5.57,1.0,0.12,0
11,106,0.84,0,0.45,2,0,0.176,0.22,0.44,1.89,1.0,0.2,0
11,372,0.11,0,0.42,0,3,-0.063,0.21,0.64,7.77,0.19,0.05,0
2,572,0.25,1,0.55,0,1,0.21,0.79,0.6,2.22,0.31,0.68,1
14,31,0.18,0,0.32,1,4,0.03,0.17,0.05,5.93,0.29,0.15,0
9,116,0.48,0,0.52,4,0,0.191,0.91,0.66,2.41,0.55,0.01,0
11,115,0.52,1,0.38,0,0,0.029,0.15,0.13,4.99,0.79,0.8,0
5,469,0.53,0,0.55,5,0,0.241,0.65,0.77,5.77,0.66,0.09,1
8,413,0.45,1,0.46,3,2,0.166,0.37,0.15,7.38,0.48,0.88,1
12,386,0.82,0,0.57,4,4,0.125,0.67,0.41,6.99,0.99,0.01,1
2,596,0.53,0,0.43,1,0,0.239,0.35,0.56,0.92,0.58,0.05,0
13,575,0.07,0,0.53,5,2,-0.088,0.27,0.76,7.37,0.35,0.04,0
2,150,0.75,0,0.46,0,2,0.112,0.38,0.45,1.26,1.0,0.06,0
15,58,0.2,0,0.42,0,5,-0.067,0.44,0.42,4.86,0.43,0.04,0
2,295,0.69,0,0.59,2,2,0.023,0.22,0.98,0.44,0.87,0.19,0
5,340,0.16,0,0.44,3,1,-0.048,0.53,0.23,4.47,0.31,0.01,1
1,475,0.93,0,0.42,1,1,0.184,0.42,0.12,0.17,1.0,0.16,0
15,375,0.13,0,0.45,1,3,0.136,0.52,0.4,2.48,0.38,0.07,0
2,548,0.53,0,0.55,1,1,0.191,0.82,0.82,1.89,0.8,0.04,0
11,82,0.22,0,0.49,3,3,0.202,0.76,0.45,7.39,0.45,0.13,0
11,328,0.19,0,0.37,3,5,0.021,0.27,0.06,4.06,0.21,0.09,0
2,97,0.63,0,0.52,1,2,0.122,0.79,0.9,3.6,0.78,0.04,0
1,466,0.15,0,0.28,1,0,0.102,0.17,0.25,3.5,0.42,0.1,0
5,401,0.44,0,0.44,4,0,0.216,0.65,0.07,0.76,0.54,0.06,0
15,158,0.37,0,0.51,1,2,0.024,0.66,0.66,1.03,0.54,0.06,0
14,135,0.69,0,0.65,5,5,0.265,0.09,0.67,4.07,0.94,0.06,0
13,502,0.23,0,0.48,1,0,0.018,0.79,0.51,4.32,0.53,0.01,0
3,390,0.2,0,0.51,1,3,-0.083,0.36,0.72,7.76,0.25,0.15,1
4,321,0.97,0,0.56,1,2,0.171,0.57,0.44,6.16,1.0,0.11,0
13,146,0.88,0,0.57,3,2,0.122,0.1,0.85,6.81,0.9,0.15,0
3,452,0.14,0,0.37,3,2,0.272,0.41,0.4,2.99,0.41,0.07,0
14,348,0.8,1,0.58,2,3,0.178,0.14,0.71,3.59,0.84,0.31,1
12,545,0.45,1,0.61,1,2,-0.051,0.24,0.64,4.98,0.68,0.89,1
11,532,0.6,0,0.54,2,3,-0.099,0.35,0.57,1.5,0.82,0.1,0
9,524,0.8,0,0.41,0,3,0.249,0.04,0.39,2.99,0.95,0.07,1
11,111,0.78,0,0.57,2,1,-0.082,0.55,0.81,1.4,1.0,0.2,1
3,69,0.73,0,0.54,0,2,-0.019,0.79,0.89,2.52,1.0,0.08,0
1,200,0.32,1,0.39,0,1,0.009,0.8,0.44,3.2,0.58,0.54,0
6,536,0.3,1,0.47,3,0,0.072,1.0,0.18,2.35,0.32,0.53,1
12,441,0.21,0,0.57,3,0,0.191,0.91,0.61,3.48,0.34,0.02,0
13,168,0.96,1,0.54,4,5,0.213,0.03,0.07,6.23,1.0,0.57,1
11,465,0.95,1,0.59,0,4,-0.045,0.37,0.31,2.23,1.0,0.81,1
9,125,0.3,0,0.52,3,1,0.299,0.29,0.92,3.93,0.38,0.17,0
8,94,0.82,0,0.51,2,5,0.039,0.06,0.54,7.13,1.0,0.14,1
6,525,0.26,0,0.37,1,1,0.216,0.03,0.55,2.95,0.56,0.12,0
12,495,0.55,0,0.49,4,0,-0.05,0.32,0.07,3.73,0.78,0.03,0
10,191,0.78,0,0.54,4,0,0.233,0.52,0.3,1.3,0.82,0.07,0
14,85,0.29,0,0.45,4,2,-0.05,0.3,0.53,4.02,0.48,0.19,0
12,350,0.85,0,0.49,0,0,-0.082,0.64,0.58,5.21,1.0,0.12,0
9,301,0.66,1,0.6,1,5,0.062,0.45,0.69,1.26,0.75,0.63,1
14,331,0.75,0,0.45,3,1,0.204,0.51,0.11,1.93,1.0,0.09,1
7,433,0.29,0,0.4,1,2,0.274,0.72,0.19,1.27,0.55,0.1,1
7,522,0.48,0,0.47,4,2,-0.081,0.28,0.6,6.74,0.55,0.06,1
3,275,0.74,0,0.44,2,0,0.06,0.57,0.19,4.43,0.97,0.1,0
10,126,0.17,0,0.29,2,2,0.123,0.37,0.14,4.82,0.2,0.01,0
13,490,0.54,0,0.51,4,1,0.031,0.61,0.16,7.92,0.58,0.12,0
8,581,0.33,1,0.63,2,2,0.17,0.98,0.58,6.37,0.57,0.74,1
11,597,0.6,0,0.62,4,3,-0.032,0.63,0.62,6.73,0.82,0.05,0
4,24,0.47,1,0.47,3,1,0.064,0.77,0.92,6.98,0.6,0.34,1
6,494,0.55,1,0.55,1,3,0.265,0.34,0.35,6.18,0.64,0.75,1
4,257,0.32,0,0.41,2,2,0.182,0.69,0.49,3.84,0.41,0.05,0
7,409,0.83,0,0.44,1,2,-0.083,0.96,0.08,7.39,1.0,0.15,0
5,580,0.71,0,0.57,4,5,0.135,0.24,0.67,4.25,0.75,0.01,0
2,145,0.05,1,0.35,0,1,0.161,0.88,0.48,5.2,0.22,0.5,0
11,592,0.27,1,0.65,0,1,0.067,0.84,0.93,0.29,0.49,0.43,0
5,43,0.06,0,0.34,0,2,0.014,0.99,0.54,3.95,0.23,0.09,1
3,474,0.67,0,0.53,0,2,0.216,0.57,0.76,1.4,0.89,0.17,1
11,102,0.23,1,0.49,2,1,-0.097,0.38,0.45,2.14,0.27,0.71,1
6,246,0.11,0,0.55,2,1,0.062,0.5,0.9,5.63,0.15,0.02,0
10,231,0.26,0,0.51,1,3,0.199,0.61,0.42,4.39,0.3,0.16,0
11,88,0.55,0,0.45,2,0,0.267,0.11,0.83,7.22,0.71,0.11,0
8,124,0.7,1,0.45,3,0,0.26,0.45,0.06,1.06,0.92,0.69,0
5,27,0.43,1,0.44,5,1,0.131,0.05,0.34,0.51,0.67,0.99,1
3,143,0.78,0,0.56,3,2,0.297,0.38,0.87,7.25,1.0,0.14,0
11,361,0.16,0,0.64,3,4,-0.049,0.98,0.83,6.05,0.46,0.13,0
14,240,0.29,0,0.49,2,1,0.275,0.73,0.11,6.48,0.39,0.15,1
4,73,0.15,0,0.31,4,0,-0.002,0.04,0.44,4.32,0.16,0.1,0
12,594,0.35,0,0.7,5,2,-0.005,0.88,0.99,4.17,0.53,0.06,0
12,184,0.64,0,0.54,3,0,0.289,0.94,0.67,6.29,0.77,0.08,0
13,555,0.5,0,0.47,2,5,-0.042,0.46,0.06,3.3,0.75,0.11,0
6,85,0.93,0,0.36,0,4,0.19,0.19,0.27,5.39,1.0,0.17,0
12,577,0.26,0,0.58,2,2,0.283,0.02,0.94,7.7,0.32,0.2,1
10,214,0.43,0,0.5,2,2,0.052,0.53,0.36,2.09,0.5,0.09,0
13,332,0.92,1,0.52,3,0,0.125,0.22,0.15,2.09,1.0,0.8,1
4,393,0.59,1,0.71,4,2,0.003,0.82,0.97,5.13,0.66,0.42,1
12,564,0.51,0,0.66,4,5,0.283,0.52,0.84,0.59,0.79,0.15,0
4,74,0.72,0,0.46,4,3,0.049,0.62,0.67,4.93,0.72,0.1,0
1,22,0.55,0,0.35,1,0,0.101,0.7,0.43,7.52,0.63,0.18,1
10,544,0.29,0,0.56,3,0,0.049,0.41,0.57,7.92,0.4,0.14,0
14,37,0.14,0,0.37,4,3,-0.078,0.01,0.17,4.0,0.25,0.16,0
2,545,0.92,1,0.42,2,2,0.09,0.05,0.07,7.4,0.99,0.76,0
1,217,0.61,0,0.46,1,0,0.02,0.56,0.57,6.8,0.84,0.07,1
12,85,0.53,0,0.41,0,0,0.075,0.84,0.34,6.15,0.82,0.19,0
13,466,0.52,0,0.51,3,3,-0.026,0.59,0.38,6.18,0.63,0.14,1
12,162,0.75,0,0.42,0,0,-0.098,0.31,0.36,2.16,0.85,0.04,0
7,110,0.07,0,0.37,0,4,0.139,0.32,0.39,2.33,0.18,0.14,0
4,590,0.55,0,0.41,1,1,0.008,0.27,0.15,1.34,0.76,0.06,0
4,512,0.61,0,0.5,0,1,0.022,0.95,0.33,4.96,0.67,0.07,0
10,144,0.34,1,0.57,5,1,0.092,0.18,0.4,2.55,0.52,0.74,0
6,390,0.32,0,0.54,2,0,0.273,0.2,1.0,1.44,0.56,0.19,0
8,303,0.84,0,0.49,3,5,0.1,0.63,0.24,5.27,0.86,0.16,0
8,415,0.56,1,0.58,5,3,0.117,0.79,0.36,7.16,0.84,0.75,1
11,368,0.21,0,0.55,4,5,0.171,0.4,0.75,7.73,0.39,0.0,0
9,576,0.6,0,0.56,3,2,0.056,0.77,0.59,4.0,0.77,0.1,0
2,123,0.84,0,0.45,1,1,0.037,0.78,0.52,2.79,1.0,0.14,1
1,122,0.07,0,0.34,0,0,0.272,0.74,0.52,4.42,0.17,0.09,0
11,193,0.23,0,0.45,3,0,0.195,0.88,0.45,3.44,0.43,0.04,0
13,69,0.6,0,0.38,4,1,0.046,0.2,0.11,5.37,0.84,0.19,0
7,121,0.38,0,0.38,4,1,0.225,0.71,0.3,4.92,0.63,0.03,0
3,387,0.71,0,0.49,3,1,0.13,0.42,0.49,4.3,0.86,0.11,1
6,466,0.64,1,0.67,0,3,-0.045,0.82,0.96,4.04,0.9,0.78,0
8,176,0.13,0,0.36,1,2,-0.087,0.22,0.29,6.25,0.14,0.15,0
10,121,0.3,0,0.5,2,4,0.229,0.04,0.72,4.37,0.46,0.15,1
14,38,0.48,0,0.52,0,3,0.246,0.12,0.81,1.68,0.58,0.14,0
7,174,0.64,0,0.44,1,0,0.128,0.53,0.6,1.35,0.88,0.06,0
15,102,0.18,1,0.53,3,0,0.297,0.87,0.13,6.93,0.41,0.8,0
11,407,0.51,0,0.55,2,5,0.066,0.45,0.63,7.04,0.68,0.1,0
6,470,0.95,0,0.66,0,5,-0.063,0.97,0.63,5.58,1.0,0.08,0
8,279,0.36,1,0.68,4,4,-0.048,0.85,0.79,7.15,0.45,0.37,1
2,166,0.47,0,0.48,1,0,0.298,0.91,0.88,2.41,0.47,0.13,0
15,174,0.1,0,0.47,5,5,0.202,0.43,0.09,0.76,0.29,0.02,0
8,14,0.06,1,0.38,0,3,0.178,0.48,0.23,0.71,0.16,0.52,1
13,141,0.66,0,0.5,0,4,0.125,0.61,0.16,2.81,0.86,0.15,0
8,227,0.13,0,0.38,0,4,0.192,0.35,0.43,6.33,0.16,0.13,0
12,296,0.79,0,0.59,5,2,-0.018,0.61,0.19,3.13,1.0,0.16,1
7,120,0.28,0,0.36,0,4,0.255,0.01,0.36,2.53,0.47,0.08,1
8,79,0.07,1,0.46,2,1,-0.084,0.06,0.79,4.05,0.09,0.65,0
2,554,0.56,0,0.61,0,1,-0.068,0.92,0.97,1.24,0.61,0.12,0
11,72,0.34,0,0.39,1,0,-0.002,0.92,0.12,4.9,0.47,0.13,0
1,145,0.72,1,0.48,1,1,-0.033,0.13,0.78,2.15,0.77,0.53,0
5,595,0.65,0,0.46,4,2,-0.078,0.86,0.17,1.26,0.8,0.13,0
1,50,0.87,0,0.38,0,1,0.046,0.92,0.18,7.68,0.87,0.16,0
4,334,0.29,0,0.38,2,2,0.23,0.57,0.12,5.39,0.56,0.04,1
7,75,0.88,0,0.44,2,2,-0.065,0.46,0.37,2.33,1.0,0.12,0
8,205,0.75,0,0.37,1,1,-0.097,0.41,0.23,2.77,0.91,0.19,0
14,319,0.15,1,0.7,1,3,0.097,0.06,1.0,5.69,0.31,0.94,1
12,386,0.49,0,0.49,4,0,0.102,0.64,0.39,4.74,0.71,0.13,0
14,327,0.93,0,0.47,5,2,0.027,0.27,0.07,1.62,1.0,0.03,0
7,128,0.56,0,0.39,1,3,0.023,0.27,0.12,1.26,0.85,0.17,1
14,340,0.19,0,0.5,2,3,0.105,0.68,0.26,7.93,0.4,0.17,0
2,478,0.15,0,0.41,0,0,-0.075,0.78,0.22,1.59,0.39,0.14,1
10,270,0.92,0,0.42,0,1,0.261,0.44,0.13,7.24,0.94,0.01,0
10,448,0.83,0,0.4,0,3,0.173,0.17,0.21,1.5,0.95,0.18,0
4,307,0.52,0,0.48,3,0,-0.065,0.38,0.42,5.14,0.78,0.13,0
7,372,0.51,0,0.49,2,4,0.101,0.39,0.18,2.55,0.74,0.18,1
8,547,0.39,0,0.51,1,1,-0.06,0.66,0.27,6.53,0.57,0.15,0
13,402,0.39,0,0.52,1,1,-0.005,0.32,0.74,2.87,0.64,0.14,0
3,581,0.95,0,0.4,3,2,-0.03,0.04,0.06,4.81,1.0,0.1,0
13,138,0.37,0,0.55,2,0,-0.091,0.59,0.92,6.19,0.42,0.19,0
7,108,0.37,0,0.6,1,5,0.279,0.79,0.96,5.19,0.47,0.19,0
13,370,0.26,0,0.51,1,3,0.023,0.69,0.13,5.83,0.44,0.08,0
1,191,0.62,0,0.48,0,0,0.275,0.14,0.75,1.9,0.9,0.13,0
11,348,0.47,1,0.57,1,5,-0.073,0.26,0.11,0.01,0.55,0.81,0
8,392,0.38,0,0.44,3,4,0.16,0.69,0.16,0.59,0.49,0.0,1
6,179,0.89,0,0.55,0,4,0.277,0.98,0.34,7.88,0.94,0.01,1
15,449,0.2,0,0.54,1,1,0.064,0.55,0.93,4.32,0.23,0.06,0
9,507,0.2,0,0.48,3,0,0.018,0.66,0.6,1.6,0.31,0.03,1
14,123,0.34,0,0.45,3,5,0.006,0.64,0.39,2.97,0.46,0.04,0
5,236,0.85,0,0.5,1,5,0.167,0.09,0.34,4.33,1.0,0.11,0
7,553,0.7,1,0.71,4,1,0.091,0.08,0.9,5.71,0.98,0.93,0
10,155,0.16,0,0.41,1,1,0.289,0.81,0.13,3.39,0.39,0.04,0
10,269,0.35,0,0.42,0,0,0.055,0.4,0.33,2.21,0.57,0.16,0
7,120,0.44,0,0.67,4,4,0.203,0.94,0.92,4.5,0.48,0.17,0
5,397,0.67,0,0.56,3,0,-0.031,0.4,0.62,5.45,0.84,0.08,0
1,491,0.92,1,0.48,0,1,0.227,0.3,0.28,3.93,1.0,0.37,1
12,458,0.79,0,0.58,5,3,0.142,0.09,0.44,7.31,0.89,0.1,0
1,532,0.8,0,0.47,1,0,0.212,0.52,0.57,1.39,0.82,0.05,0
12,208,0.31,0,0.44,4,3,0.154,0.12,0.03,2.98,0.56,0.04,0
6,357,0.21,1,0.49,5,5,-0.064,0.03,0.05,6.83,0.48,0.75,1
7,530,0.07,0,0.45,5,0,0.09,0.13,0.17,6.41,0.3,0.12,0
12,286,0.45,0,0.55,2,3,0.001,0.47,0.68,6.59,0.56,0.02,0
14,388,0.58,1,0.59,2,2,0.174,0.48,0.34,2.21,0.76,0.48,0
5,197,0.19,0,0.32,0,4,0.062,0.32,0.14,0.2,0.42,0.05,0
1,590,0.83,0,0.42,0,1,0.263,0.67,0.51,6.76,0.93,0.04,1
5,577,0.77,0,0.5,5,2,0.162,0.22,0.22,6.97,0.82,0.07,0
2,486,0.1,0,0.4,2,2,-0.072,0.89,0.5,6.94,0.29,0.06,0
3,210,0.38,0,0.46,3,1,0.027,0.72,0.78,3.9,0.68,0.06,0
4,177,0.6,0,0.36,0,1,0.146,0.63,0.4,7.72,0.65,0.01,0
1,334,0.77,0,0.46,0,0,0.151,0.25,0.69,2.75,0.93,0.08,1
14,51,0.33,0,0.54,5,4,0.139,0.34,0.89,7.96,0.42,0.07,0
15,418,0.07,0,0.45,1,1,0.194,0.59,0.17,2.93,0.14,0.08,0
10,54,0.61,0,0.36,0,5,0.234,0.05,0.12,3.55,0.62,0.05,0
11,14,0.34,0,0.37,5,4,0.008,0.61,0.14,6.65,0.54,0.14,0
2,514,0.24,0,0.44,1,2,0.289,0.36,0.41,1.28,0.3,0.18,0
4,7,0.06,1,0.21,0,4,0.168,0.15,0.09,4.09,0.09,0.37,1
5,275,0.49,1,0.59,1,0,0.241,0.36,0.68,3.41,0.52,0.9,1
3,179,0.36,0,0.35,2,0,0.049,0.34,0.11,3.2,0.63,0.17,0
7,175,0.16,0,0.46,0,1,-0.059,0.91,0.48,4.55,0.37,0.12,0
14,138,0.51,0,0.49,3,3,-0.082,0.26,0.31,5.64,0.66,0.15,0
11,351,0.54,0,0.59,4,0,0.073,0.73,0.48,5.31,0.75,0.03,0
10,60,0.06,0,0.34,4,3,0.241,0.87,0.07,3.93,0.34,0.19,0
11,392,0.43,0,0.56,3,3,0.221,0.45,0.86,3.58,0.5,0.15,0
1,575,0.57,0,0.44,1,0,0.162,0.46,0.34,6.6,0.82,0.07,0
12,377,0.73,1,0.6,5,1,-0.099,0.36,0.63,6.4,0.76,0.56,0
8,148,0.83,0,0.36,3,0,0.002,0.2,0.12,6.82,1.0,0.16,0
13,429,0.09,0,0.53,5,4,-0.051,0.89,0.46,4.71,0.28,0.19,0
9,448,0.85,0,0.59,4,1,0.177,0.17,0.82,0.83,0.99,0.12,0
7,259,0.31,0,0.48,2,3,0.222,0.14,0.6,7.09,0.6,0.17,0
12,571,0.65,0,0.66,4,5,0.016,0.35,0.67,7.85,0.71,0.1,0
2,365,0.58,0,0.5,2,2,0.067,0.75,0.84,2.29,0.75,0.1,1
11,62,0.24,0,0.33,1,2,0.173,0.15,0.06,6.27,0.47,0.01,0
14,580,0.87,0,0.71,4,3,-0.005,0.78,0.8,2.3,1.0,0.19,0
11,325,0.97,0,0.74,5,2,-0.019,0.87,0.86,3.54,0.99,0.14,0
9,206,0.79,0,0.47,2,3,-0.029,0.68,0.19,1.39,1.0,0.08,0
3,169,0.6,0,0.38,2,3,0.184,0.15,0.15,2.58,0.68,0.12,0
10,568,0.39,0,0.37,2,4,-0.012,0.18,0.07,4.04,0.63,0.11,0
4,344,0.36,0,0.53,4,4,0.09,0.56,0.75,5.19,0.45,0.07,0
15,254,0.96,0,0.66,2,3,0.266,0.94,0.39,4.32,1.0,0.18,1
13,525,0.47,1,0.43,5,1,0.028,0.08,0.1,7.77,0.48,0.31,0
13,223,0.87,0,0.59,0,1,0.115,0.7,0.98,6.2,1.0,0.15,0
6,43,0.13,0,0.48,2,4,-0.072,0.82,0.91,3.26,0.15,0.08,0
2,552,0.06,0,0.31,0,2,0.134,0.7,0.07,7.42,0.28,0.16,0
13,453,0.41,0,0.51,0,3,-0.037,0.22,0.75,6.37,0.66,0.19,0
15,387,0.96,0,0.62,4,1,-0.051,0.01,0.6,4.3,0.96,0.04,0
4,427,0.91,0,0.51,1,1,-0.026,0.62,0.25,0.92,1.0,0.17,0
9,477,0.66,0,0.52,5,0,0.0,0.2,0.58,7.61,0.68,0.13,0
2,203,0.35,0,0.42,2,2,0.022,0.58,0.57,2.92,0.49,0.03,0
12,451,0.31,0,0.59,5,5,0.033,0.48,0.45,6.2,0.42,0.02,1
5,148,0.9,0,0.47,5,5,-0.069,0.08,0.02,4.06,0.96,0.12,0
1,569,0.3,0,0.45,1,0,0.046,0.22,0.77,5.87,0.57,0.09,0
9,15,0.68,0,0.45,4,5,-0.034,0.51,0.45,1.43,0.93,0.17,0
6,46,0.26,0,0.26,0,2,0.048,0.04,0.21,7.26,0.41,0.09,1
11,336,0.15,0,0.54,5,2,0.234,0.26,0.54,1.39,0.44,0.07,0
9,262,0.41,0,0.51,4,3,0.041,0.87,0.49,3.86,0.68,0.1,1
2,531,0.66,0,0.4,0,0,0.045,0.72,0.12,1.84,0.72,0.02,0
10,170,0.66,0,0.36,1,0,-0.049,0.59,0.13,4.1,0.78,0.01,0
7,582,0.66,1,0.65,5,5,0.229,0.95,0.22,4.85,0.92,0.42,1
13,191,0.64,1,0.56,1,5,0.174,0.92,0.6,0.55,0.79,0.39,1
15,521,0.7,1,0.66,4,0,-0.029,0.9,0.6,7.02,0.95,0.83,0
15,557,0.84,0,0.74,5,5,0.073,0.42,0.87,5.58,1.0,0.19,0
6,594,0.14,0,0.48,3,1,0.264,0.08,0.6,4.35,0.18,0.0,1
9,125,0.54,0,0.4,1,5,0.222,0.41,0.11,3.41,0.65,0.05,0
10,287,0.99,0,0.51,1,3,0.121,0.56,0.18,4.47,1.0,0.2,0
7,146,0.86,0,0.5,5,1,0.079,0.7,0.16,1.72,1.0,0.16,0
1,169,0.42,0,0.33,0,0,0.089,0.6,0.09,2.1,0.61,0.12,0
7,538,0.32,0,0.42,0,1,0.156,0.44,0.2,5.26,0.61,0.04,0
12,242,0.63,0,0.47,2,1,0.162,0.98,0.09,2.21,0.83,0.13,0
1,75,0.92,0,0.37,1,1,0.285,0.28,0.61,1.56,1.0,0.0,0
